State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Andhra Pradesh,MAHBUBNAGAR,Cashewnut,2001-02,Whole Year,18,Hectare,2,Tonnes,0.1111111111
Andhra Pradesh,MAHBUBNAGAR,Cashewnut,2002-03,Whole Year,10,Hectare,2,Tonnes,0.2
Andhra Pradesh,MAHBUBNAGAR,Cashewnut,2003-04,Whole Year,3,Hectare,0,Tonnes,0
Andhra Pradesh,MEDAK,Cashewnut,2001-02,Whole Year,18,Hectare,2,Tonnes,0.1111111111
Andhra Pradesh,MEDAK,Cashewnut,2002-03,Whole Year,15,Hectare,3,Tonnes,0.2
Andhra Pradesh,MEDAK,Cashewnut,2003-04,Whole Year,19,Hectare,3,Tonnes,0.1578947368
Andhra Pradesh,PRAKASAM,Cashewnut,2001-02,Whole Year,702,Hectare,193,Tonnes,0.2749287749
Andhra Pradesh,PRAKASAM,Cashewnut,2002-03,Whole Year,687,Hectare,85,Tonnes,0.1237263464
Andhra Pradesh,PRAKASAM,Cashewnut,2003-04,Whole Year,698,Hectare,187,Tonnes,0.2679083095
Andhra Pradesh,RANGAREDDI,Cashewnut,2002-03,Whole Year,3,Hectare,1,Tonnes,0.3333333333
Andhra Pradesh,RANGAREDDI,Cashewnut,2003-04,Whole Year,3,Hectare,0,Tonnes,0
Andhra Pradesh,SPSR NELLORE,Cashewnut,2001-02,Whole Year,665,Hectare,183,Tonnes,0.2751879699
Andhra Pradesh,SPSR NELLORE,Cashewnut,2002-03,Whole Year,778,Hectare,97,Tonnes,0.1246786632
Andhra Pradesh,SPSR NELLORE,Cashewnut,2003-04,Whole Year,806,Hectare,216,Tonnes,0.2679900744
Andhra Pradesh,SRIKAKULAM,Cashewnut,2001-02,Whole Year,18901,Hectare,7965,Tonnes,0.4214062748
Andhra Pradesh,SRIKAKULAM,Cashewnut,2002-03,Whole Year,19080,Hectare,8414,Tonnes,0.4409853249
Andhra Pradesh,SRIKAKULAM,Cashewnut,2003-04,Whole Year,19494,Hectare,7427,Tonnes,0.3809890223
Andhra Pradesh,VISAKHAPATANAM,Cashewnut,2001-02,Whole Year,29675,Hectare,14486,Tonnes,0.4881550126
Andhra Pradesh,VISAKHAPATANAM,Cashewnut,2002-03,Whole Year,31179,Hectare,3802,Tonnes,0.1219410501
Andhra Pradesh,VISAKHAPATANAM,Cashewnut,2003-04,Whole Year,31045,Hectare,16996,Tonnes,0.5474633596
Andhra Pradesh,VIZIANAGARAM,Cashewnut,2001-02,Whole Year,9138,Hectare,2512,Tonnes,0.2748960385
Andhra Pradesh,VIZIANAGARAM,Cashewnut,2002-03,Whole Year,10741,Hectare,1335,Tonnes,0.1242901033
Andhra Pradesh,VIZIANAGARAM,Cashewnut,2003-04,Whole Year,11179,Hectare,2996,Tonnes,0.2680025047
